"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","121,520,180","±153,217"
"    Owner-occupied housing units:","77,708,394","±235,977"
"        Less than high school graduate","5,854,097","±39,093"
"        High school graduate (including equivalency)","17,842,386","±53,763"
"        Some college or associate's degree","23,255,299","±90,221"
"        Bachelor's degree or higher","30,756,612","±147,360"
"    Renter-occupied housing units:","43,811,786","±124,897"
"        Less than high school graduate","6,164,670","±51,886"
"        High school graduate (including equivalency)","11,621,250","±74,472"
"        Some college or associate's degree","14,003,547","±66,256"
"        Bachelor's degree or higher","12,022,319","±53,115"
