"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","122,802,852","±137,327"
"    Owner-occupied housing units:","78,724,862","±240,723"
"        Less than high school graduate","5,764,895","±43,276"
"        High school graduate (including equivalency)","18,037,267","±72,336"
"        Some college or associate's degree","23,436,821","±99,787"
"        Bachelor's degree or higher","31,485,879","±155,683"
"    Renter-occupied housing units:","44,077,990","±135,910"
"        Less than high school graduate","5,995,743","±60,039"
"        High school graduate (including equivalency)","11,683,254","±85,343"
"        Some college or associate's degree","13,931,895","±75,587"
"        Bachelor's degree or higher","12,467,098","±63,376"
