"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","118,860,065","±154,606"
"    Owner-occupied housing units:","75,022,569","±227,992"
"        Less than high school graduate","6,048,975","±35,158"
"        High school graduate (including equivalency)","17,670,787","±70,603"
"        Some college or associate's degree","22,546,606","±93,400"
"        Bachelor's degree or higher","28,756,201","±123,176"
"    Renter-occupied housing units:","43,837,496","±103,352"
"        Less than high school graduate","6,561,833","±45,564"
"        High school graduate (including equivalency)","11,507,913","±65,709"
"        Some college or associate's degree","14,248,498","±71,733"
"        Bachelor's degree or higher","11,519,252","±60,226"
