"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","129,870,928","±136,261"
"    Owner-occupied housing units:","84,649,084","±252,966"
"        Less than high school graduate","5,533,671","±47,231"
"        High school graduate (including equivalency)","18,514,991","±75,409"
"        Some college or associate's degree","24,680,282","±99,250"
"        Bachelor's degree or higher","35,920,140","±184,112"
"    Renter-occupied housing units:","45,221,844","±159,146"
"        Less than high school graduate","5,566,556","±57,082"
"        High school graduate (including equivalency)","11,855,980","±98,035"
"        Some college or associate's degree","13,908,633","±76,712"
"        Bachelor's degree or higher","13,890,675","±74,966"
