"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","116,291,033","±141,632"
"    Owner-occupied housing units:","73,843,861","±212,871"
"        Less than high school graduate","6,497,150","±40,812"
"        High school graduate (including equivalency)","18,166,846","±70,072"
"        Some college or associate's degree","22,374,934","±86,712"
"        Bachelor's degree or higher","26,804,931","±109,076"
"    Renter-occupied housing units:","42,447,172","±119,774"
"        Less than high school graduate","6,767,596","±45,120"
"        High school graduate (including equivalency)","11,221,350","±61,457"
"        Some college or associate's degree","14,035,403","±69,998"
"        Bachelor's degree or higher","10,422,823","±46,795"
