"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","120,062,818","±161,148"
"    Owner-occupied housing units:","76,684,018","±243,713"
"        Less than high school graduate","5,956,150","±33,679"
"        High school graduate (including equivalency)","17,807,520","±68,674"
"        Some college or associate's degree","22,976,160","±103,371"
"        Bachelor's degree or higher","29,944,188","±147,227"
"    Renter-occupied housing units:","43,378,800","±114,163"
"        Less than high school graduate","6,251,677","±49,880"
"        High school graduate (including equivalency)","11,638,878","±70,628"
"        Some college or associate's degree","13,948,155","±65,411"
"        Bachelor's degree or higher","11,540,090","±53,446"
