"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","118,208,250","±155,130"
"    Owner-occupied housing units:","74,506,512","±228,238"
"        Less than high school graduate","6,200,847","±38,724"
"        High school graduate (including equivalency)","17,987,050","±68,710"
"        Some college or associate's degree","22,377,331","±92,173"
"        Bachelor's degree or higher","27,941,284","±113,696"
"    Renter-occupied housing units:","43,701,738","±113,291"
"        Less than high school graduate","6,681,590","±46,959"
"        High school graduate (including equivalency)","11,503,614","±62,430"
"        Some college or associate's degree","14,327,175","±64,138"
"        Bachelor's degree or higher","11,189,359","±43,004"
