"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","127,544,730","±97,632"
"    Owner-occupied housing units:","83,396,988","±187,164"
"        Less than high school graduate","5,557,311","±42,780"
"        High school graduate (including equivalency)","18,378,269","±64,004"
"        Some college or associate's degree","24,388,173","±87,504"
"        Bachelor's degree or higher","35,073,235","±146,224"
"    Renter-occupied housing units:","44,147,742","±126,106"
"        Less than high school graduate","5,627,236","±51,999"
"        High school graduate (including equivalency)","11,562,541","±69,010"
"        Some college or associate's degree","13,746,271","±75,093"
"        Bachelor's degree or higher","13,211,694","±58,268"
